# species: Drosophila melanogaster
# mRNA expression data from the gap genes hunchback (hb), Kruppel (Kr),
# giant (gt) and knirps (kni).
#
# Data format in this file:
# lineage = 2^mitotic cycle + nucleus position, with the mitotic cycle ranging
#           from C10 to C14, and nucleus position from 35 to 88 (depending on
#           the number of mitotic cycles). As a small example: in cycle C10, 
#           nucleus 8 has the lineage number 1032.
#
# time    = time starting at C13, in minutes
# 
# hb, Kr, gt, kni = expression levels per gene
#
# lineage   time    hb  Kr  gt  kni
8233    24.225  146.76  0.27    42.87   0.00
8234    24.225  131.29  7.98    21.07   0.00
8235    24.225  112.88  24.64   5.07    0.00
8236    24.225  92.59   47.86   0.00    0.00
8237    24.225  71.55   75.15   0.00    0.00
8238    24.225  50.94   103.91  0.00    0.00
8239    24.225  31.96   131.40  0.00    0.00
8240    24.225  15.90   154.80  0.00    0.00
8241    24.225  4.06    171.16  0.00    0.00
8242    24.225  0.00    173.19  0.00    0.00
8243    24.225  0.00    171.44  0.00    0.00
8244    24.225  0.00    169.69  0.00    0.00
8245    24.225  0.00    167.94  0.00    3.56
8246    24.225  0.00    165.75  0.00    16.68
8247    24.225  0.00    157.09  0.00    36.75
8248    24.225  0.00    141.67  0.00    60.98
8249    24.225  0.00    121.48  0.00    86.72
8250    24.225  0.00    98.43   0.00    111.41
8251    24.225  0.00    74.37   0.00    132.62
8252    24.225  0.00    51.05   0.00    147.99
8253    24.225  0.00    30.17   0.00    153.95
8254    24.225  0.00    13.33   0.00    152.20
8255    24.225  0.00    2.05    0.00    150.45
8256    24.225  0.00    0.00    0.00    148.70
8257    24.225  0.00    0.00    0.00    146.95
8258    24.225  0.00    0.00    0.05    145.15
8259    24.225  0.00    0.00    6.72    137.66
8260    24.225  0.00    0.00    22.25   122.39
8261    24.225  0.00    0.00    43.45   101.89
8262    24.225  0.00    0.00    67.25   78.62
8263    24.225  0.00    0.00    90.76   54.89
8264    24.225  0.00    0.00    111.21  32.93
8265    24.225  0.00    0.00    125.97  14.83
8266    24.225  0.00    0.00    131.20  2.59
8267    24.225  0.00    0.00    129.45  0.00
8268    24.225  0.00    0.00    127.70  0.00
8269    24.225  0.00    0.00    125.96  0.00
8270    24.225  0.00    0.00    123.34  0.00
8271    24.225  0.00    0.00    115.11  0.00
8272    24.225  0.00    0.00    101.98  0.00
8273    24.225  0.01    0.00    85.57   0.00
8274    24.225  5.07    0.00    67.44   0.00
8275    24.225  17.45   0.00    49.06   0.00
8276    24.225  34.60   0.00    31.81   0.00
8277    24.225  54.11   0.00    17.00   0.00
8278    24.225  73.71   0.00    5.85    0.00
8279    24.225  91.27   0.00    0.00    0.00


8227    30.475  166.81  0.00    152.75  0.00
8228    30.475  168.78  0.00    139.39  0.00
8229    30.475  170.74  0.00    120.22  0.00
8230    30.475  172.70  0.00    97.19   0.00
8231    30.475  174.66  0.00    72.33   0.00
8232    30.475  176.53  0.00    47.78   0.00
8233    30.475  171.77  5.92    25.77   0.00
8234    30.475  157.92  21.91   8.63    0.00
8235    30.475  137.12  45.47   0.00    0.00
8236    30.475  111.60  73.96   0.00    0.00
8237    30.475  83.72   104.64  0.00    0.00
8238    30.475  55.92   134.65  0.00    0.00
8239    30.475  30.77   160.98  0.00    0.00
8240    30.475  10.91   180.53  0.00    0.00
8241    30.475  0.00    187.38  0.00    0.00
8242    30.475  0.00    187.38  0.00    0.00
8243    30.475  0.00    185.48  0.00    0.00
8244    30.475  0.00    183.59  0.00    0.00
8245    30.475  0.00    177.94  0.00    0.00
8246    30.475  0.00    165.41  0.00    0.89
8247    30.475  0.00    147.66  0.00    10.84
8248    30.475  0.00    126.30  0.00    29.37
8249    30.475  0.00    102.89  0.00    53.53
8250    30.475  0.00    78.91   0.00    80.45
8251    30.475  0.00    55.80   0.00    107.42
8252    30.475  0.00    34.91   0.00    131.81
8253    30.475  0.00    17.56   0.00    151.12
8254    30.475  0.00    4.98    0.00    162.96
8255    30.475  0.00    0.00    0.00    162.77
8256    30.475  0.00    0.00    0.00    160.88
8257    30.475  0.00    0.00    0.00    158.99
8258    30.475  0.00    0.00    0.00    155.15
8259    30.475  0.00    0.00    3.61    144.03
8260    30.475  0.00    0.00    19.77   127.14
8261    30.475  0.00    0.00    44.54   106.40
8262    30.475  0.00    0.00    73.32   83.68
8263    30.475  0.00    0.00    101.71  60.75
8264    30.475  0.00    0.00    125.53  39.28
8265    30.475  0.00    0.00    140.84  20.87
8266    30.475  0.00    0.00    141.95  7.04
8267    30.475  0.00    0.00    140.06  0.00
8268    30.475  0.00    0.00    136.54  0.00
8269    30.475  0.00    0.00    124.41  0.00
8270    30.475  3.12    0.00    105.41  0.00
8271    30.475  15.30   0.00    82.44   0.00
8272    30.475  33.82   0.00    58.21   0.00
8273    30.475  55.76   0.00    35.30   0.00
8274    30.475  78.35   0.00    16.17   0.00
8275    30.475  98.97   0.00    3.08    0.00
8276    30.475  115.15  0.00    0.00    0.00
8277    30.475  124.60  0.00    0.00    0.00
8278    30.475  123.64  0.00    0.00    0.00
8279    30.475  121.67  0.00    0.00    0.00


8227    36.725  169.88  0.00    162.91  0.00
8228    36.725  171.88  0.00    146.29  0.00
8229    36.725  173.88  0.00    119.87  0.00
8230    36.725  175.88  0.00    87.91   0.00
8231    36.725  177.88  0.00    54.89   0.00
8232    36.725  179.88  0.00    25.49   0.00
8233    36.725  181.88  0.00    4.62    0.00
8234    36.725  183.68  4.55    0.00    0.00
8235    36.725  172.74  17.73   0.00    0.00
8236    36.725  145.74  37.74   0.00    0.00
8237    36.725  108.89  62.74   0.00    0.00
8238    36.725  68.70   90.76   0.00    0.00
8239    36.725  31.94   119.77  0.00    0.00
8240    36.725  5.67    147.64  0.00    0.00
8241    36.725  0.00    172.16  0.00    0.00
8242    36.725  0.00    189.11  0.00    0.00
8243    36.725  0.00    193.68  0.00    0.00
8244    36.725  0.00    191.70  0.00    0.00
8245    36.725  0.00    189.73  0.00    0.00
8246    36.725  0.00    187.75  0.00    0.00
8247    36.725  0.00    185.16  0.00    6.20
8248    36.725  0.00    174.21  0.00    24.21
8249    36.725  0.00    154.78  0.00    50.14
8250    36.725  0.00    129.62  0.00    80.22
8251    36.725  0.00    101.34  0.00    110.81
8252    36.725  0.00    72.49   0.00    138.47
8253    36.725  0.00    45.48   0.00    159.87
8254    36.725  0.00    22.61   0.00    171.86
8255    36.725  0.00    6.09    0.00    169.97
8256    36.725  0.00    0.00    0.00    167.99
8257    36.725  0.00    0.00    6.06    166.01
8258    36.725  0.00    0.00    27.29   163.99
8259    36.725  0.00    0.00    57.80   155.19
8260    36.725  0.00    0.00    91.55   137.07
8261    36.725  0.00    0.00    122.78  112.82
8262    36.725  0.00    0.00    146.01  85.46
8263    36.725  0.00    0.00    154.15  57.88
8264    36.725  0.00    0.00    152.18  32.84
8265    36.725  0.00    0.00    150.18  12.94
8266    36.725  0.00    0.00    141.92  0.65
8267    36.725  0.00    0.00    124.79  0.00
8268    36.725  0.00    0.00    101.91  0.00
8269    36.725  4.24    0.00    76.23   0.00
8270    36.725  17.69   0.00    50.58   0.00
8271    36.725  37.32   0.00    27.61   0.00
8272    36.725  60.16   0.00    9.83    0.00
8273    36.725  83.38   0.00    0.00    0.00
8274    36.725  104.32  0.00    0.00    0.00
8275    36.725  120.48  0.00    0.00    0.00
8276    36.725  129.51  0.00    0.00    0.00
8277    36.725  127.91  0.00    0.00    0.00
8278    36.725  125.91  0.00    0.00    0.00
8279    36.725  123.33  0.00    0.00    0.00


8227    42.975  135.28  0.00    163.11  0.00
8228    42.975  136.88  0.00    145.09  0.00
8229    42.975  138.47  0.00    117.90  0.00
8230    42.975  140.06  0.00    85.72   0.00
8231    42.975  141.67  0.00    52.91   0.00
8232    42.975  146.31  3.41    24.03   0.00
8233    42.975  154.88  15.20   3.87    0.00
8234    42.975  165.49  33.83   0.00    0.00
8235    42.975  176.18  57.56   0.00    0.00
8236    42.975  184.92  84.55   0.00    0.00
8237    42.975  189.00  112.90  0.00    0.00
8238    42.975  149.24  140.61  0.00    0.00
8239    42.975  108.12  165.61  0.00    0.00
8240    42.975  63.55   185.74  0.00    0.00
8241    42.975  24.53   198.03  0.00    0.00
8242    42.975  0.45    198.03  0.00    0.00
8243    42.975  0.00    196.03  0.00    0.00
8244    42.975  0.00    194.03  0.00    0.00
8245    42.975  0.00    192.03  0.00    0.01
8246    42.975  0.00    185.85  0.00    7.82
8247    42.975  0.00    170.45  0.00    27.30
8248    42.975  0.00    148.30  0.00    54.46
8249    42.975  0.00    121.83  0.00    85.47
8250    42.975  0.00    93.41   0.00    116.65
8251    42.975  0.00    65.29   0.00    144.47
8252    42.975  0.00    39.63   0.00    165.57
8253    42.975  0.00    18.49   0.00    176.03
8254    42.975  0.00    3.85    0.00    174.03
8255    42.975  0.00    0.00    0.00    172.03
8256    42.975  0.00    0.00    0.18    170.03
8257    42.975  0.00    0.00    13.11   158.50
8258    42.975  0.00    0.00    40.96   129.76
8259    42.975  0.00    0.00    76.28   91.92
8260    42.975  0.00    0.00    111.98  52.82
8261    42.975  0.00    0.00    141.31  19.94
8262    42.975  0.00    0.00    157.81  0.36
8263    42.975  0.00    0.00    156.03  0.00
8264    42.975  0.00    0.00    154.03  0.00
8265    42.975  0.00    0.00    152.03  0.00
8266    42.975  0.00    0.00    147.80  0.00
8267    42.975  0.00    0.00    132.32  0.00
8268    42.975  2.96    0.00    108.32  0.00
8269    42.975  17.64   0.00    79.95   0.00
8270    42.975  40.55   0.00    51.14   0.00
8271    42.975  67.30   0.00    25.61   0.00
8272    42.975  93.75   0.00    6.88    0.00
8273    42.975  115.95  0.00    0.00    0.00
8274    42.975  130.24  0.00    0.00    0.00
8275    42.975  131.31  0.00    0.00    0.00
8276    42.975  129.31  0.00    0.00    0.00
8277    42.975  127.33  0.00    0.00    0.00
8278    42.975  123.20  0.00    0.00    0.00
8279    42.975  100.41  0.00    0.00    0.00


8227    49.225  131.58  0.00    165.83  0.00
8228    49.225  133.13  0.00    150.93  0.00
8229    49.225  134.68  0.00    121.20  0.00
8230    49.225  136.23  0.00    83.58   0.00
8231    49.225  137.77  0.00    45.38   0.00
8232    49.225  145.57  0.00    14.22   0.00
8233    49.225  161.40  6.26    0.00    0.00
8234    49.225  175.83  25.26   0.00    0.00
8235    49.225  179.96  53.47   0.00    0.00
8236    49.225  181.89  87.10   0.00    0.00
8237    49.225  156.53  122.24  0.00    0.00
8238    49.225  91.78   154.75  0.00    0.00
8239    49.225  25.50   180.36  0.00    0.00
8240    49.225  0.00    192.54  0.00    0.00
8241    49.225  0.00    194.51  0.00    0.00
8242    49.225  0.00    194.51  0.00    0.00
8243    49.225  0.00    192.54  0.00    0.00
8244    49.225  0.00    190.58  0.00    0.00
8245    49.225  0.00    185.84  0.00    5.39
8246    49.225  0.00    170.66  0.00    23.81
8247    49.225  0.00    147.39  0.00    51.07
8248    49.225  0.00    119.09  0.00    82.90
8249    49.225  0.00    88.65   0.00    115.18
8250    49.225  0.00    58.89   0.00    143.97
8251    49.225  0.00    32.47   0.00    165.51
8252    49.225  0.00    11.96   0.00    174.86
8253    49.225  0.00    0.00    0.00    172.90
8254    49.225  0.00    0.00    0.00    170.93
8255    49.225  0.00    0.00    0.00    168.94
8256    49.225  0.00    0.00    0.68    155.61
8257    49.225  0.00    0.00    15.45   126.80
8258    49.225  0.00    0.00    43.91   89.96
8259    49.225  0.00    0.00    78.88   52.23
8260    49.225  0.00    0.00    113.50  20.39
8261    49.225  0.00    0.00    141.23  0.91
8262    49.225  0.00    0.00    155.21  0.00
8263    49.225  0.00    0.00    153.25  0.00
8264    49.225  0.00    0.00    151.28  0.00
8265    49.225  0.00    0.00    149.22  0.00
8266    49.225  0.55    0.00    138.97  0.00
8267    49.225  12.78   0.00    118.42  0.00
8268    49.225  36.47   0.00    91.74   0.00
8269    49.225  65.75   0.00    62.94   0.00
8270    49.225  95.04   0.00    35.79   0.00
8271    49.225  119.08  0.00    13.88   0.00
8272    49.225  132.89  0.00    0.56    0.00
8273    49.225  131.58  0.00    0.00    0.00
8274    49.225  129.65  0.00    0.00    0.00
8275    49.225  127.71  0.00    0.00    0.00
8276    49.225  125.78  0.00    0.00    0.00
8277    49.225  123.84  0.00    0.00    0.00
8278    49.225  116.06  0.00    0.00    0.00
8279    49.225  89.98   0.00    0.00    0.00


8227    55.475  124.80  0.00    158.54  0.00
8228    55.475  126.27  0.00    141.10  0.00
8229    55.475  127.74  0.00    103.15  0.00
8230    55.475  129.21  0.00    57.55   0.00
8231    55.475  130.67  0.00    17.76   0.00
8232    55.475  136.85  0.00    0.00    0.00
8233    55.475  149.59  8.31    0.00    0.00
8234    55.475  163.05  30.77   0.00    0.00
8235    55.475  170.68  62.65   0.00    0.00
8236    55.475  172.52  99.01   0.00    0.00
8237    55.475  148.44  134.68  0.00    0.00
8238    55.475  76.77   164.27  0.00    0.00
8239    55.475  10.69   181.34  0.00    0.00
8240    55.475  0.00    183.21  0.00    0.00
8241    55.475  0.00    185.08  0.00    0.00
8242    55.475  0.00    185.08  0.00    0.00
8243    55.475  0.00    183.21  0.00    0.00
8244    55.475  0.00    181.34  0.00    7.53
8245    55.475  0.00    179.47  0.00    30.03
8246    55.475  0.00    170.13  0.00    61.73
8247    55.475  0.00    144.85  0.00    96.96
8248    55.475  0.00    110.02  0.00    130.29
8249    55.475  0.00    71.97   0.00    156.51
8250    55.475  0.00    36.76   0.00    170.12
8251    55.475  0.00    10.20   0.00    168.25
8252    55.475  0.00    0.00    0.00    166.38
8253    55.475  0.00    0.00    0.00    164.50
8254    55.475  0.00    0.00    0.00    155.42
8255    55.475  0.00    0.00    1.30    135.58
8256    55.475  0.00    0.00    18.52   108.89
8257    55.475  0.00    0.00    49.25   79.09
8258    55.475  0.00    0.00    85.44   49.77
8259    55.475  0.00    0.00    119.40  24.33
8260    55.475  0.00    0.00    143.83  6.03
8261    55.475  0.00    0.00    149.56  0.00
8262    55.475  0.00    0.00    147.69  0.00
8263    55.475  0.00    0.00    145.82  0.00
8264    55.475  1.26    0.00    141.59  0.00
8265    55.475  13.59   0.00    126.84  0.00
8266    55.475  35.19   0.00    104.28  0.00
8267    55.475  61.51   0.00    77.66   0.00
8268    55.475  88.19   0.00    50.50   0.00
8269    55.475  111.11  0.00    26.20   0.00
8270    55.475  126.38  0.00    7.92    0.00
8271    55.475  128.47  0.00    0.00    0.00
8272    55.475  126.64  0.00    0.00    0.00
8273    55.475  124.80  0.00    0.00    0.00
8274    55.475  122.97  0.00    0.00    0.00
8275    55.475  121.13  0.00    0.00    0.00
8276    55.475  119.29  0.00    0.00    0.00
8277    55.475  110.37  0.00    0.00    0.00
8278    55.475  83.94   0.00    0.00    0.00
8279    55.475  50.11   0.00    0.00    0.00


8227    61.725  114.94  0.00    145.74  0.00
8228    61.725  116.29  0.00    138.57  0.00
8229    61.725  117.64  0.00    108.05  0.00
8230    61.725  119.00  0.00    65.86   0.00
8231    61.725  120.35  0.00    25.28   0.00
8232    61.725  126.03  0.00    0.19    0.00
8233    61.725  138.87  9.98    0.00    0.00
8234    61.725  151.84  36.71   0.00    0.00
8235    61.725  157.20  73.14   0.00    0.00
8236    61.725  158.89  111.90  0.00    0.00
8237    61.725  146.45  145.31  0.00    0.00
8238    61.725  66.53   164.60  0.00    0.00
8239    61.725  0.06    166.31  0.00    0.00
8240    61.725  0.00    168.03  0.00    0.00
8241    61.725  0.00    169.74  0.00    0.00
8242    61.725  0.00    162.39  0.00    0.00
8243    61.725  0.00    139.32  0.00    0.03
8244    61.725  0.00    107.73  0.00    8.93
8245    61.725  0.00    72.93   0.00    30.16
8246    61.725  0.00    40.02   0.00    58.80
8247    61.725  0.00    13.91   0.00    90.15
8248    61.725  0.00    0.00    0.00    119.67
8249    61.725  0.00    0.00    0.00    143.02
8250    61.725  0.00    0.00    0.00    156.02
8251    61.725  0.00    0.00    0.00    154.31
8252    61.725  0.00    0.00    0.00    152.59
8253    61.725  0.00    0.00    0.00    141.22
8254    61.725  0.00    0.00    0.00    114.35
8255    61.725  0.00    0.00    6.34    79.59
8256    61.725  0.00    0.00    41.45   44.23
8257    61.725  0.00    0.00    89.13   15.24
8258    61.725  0.00    0.00    129.20  0.00
8259    61.725  0.00    0.00    140.59  0.00
8260    61.725  0.00    0.00    138.88  0.00
8261    61.725  0.00    0.00    137.16  0.00
8262    61.725  0.00    0.00    131.04  0.00
8263    61.725  0.00    0.00    107.91  0.00
8264    61.725  0.00    0.00    74.86   0.00
8265    61.725  3.75    0.00    40.34   0.00
8266    61.725  18.57   0.00    12.37   0.00
8267    61.725  40.53   0.00    0.00    0.00
8268    61.725  65.40   0.00    0.00    0.00
8269    61.725  89.15   0.00    0.00    0.00
8270    61.725  107.99  0.00    0.00    0.00
8271    61.725  118.31  0.00    0.00    0.00
8272    61.725  116.63  0.00    0.00    0.00
8273    61.725  114.94  0.00    0.00    0.00
8274    61.725  113.25  0.00    0.00    0.00
8275    61.725  111.56  0.00    0.00    0.00
8276    61.725  109.81  0.00    0.00    0.00
8277    61.725  93.60   0.00    0.00    0.00
8278    61.725  61.49   0.00    0.00    0.00
8279    61.725  27.04   0.00    0.00    0.00


8227    67.975  102.00  0.00    127.50  0.00
8228    67.975  103.20  0.00    119.47  0.00
8229    67.975  104.40  0.00    82.05   0.00
8230    67.975  105.60  0.00    35.05   0.00
8231    67.975  106.82  0.00    1.93    0.00
8232    67.975  114.67  2.02    0.00    0.00
8233    67.975  128.27  16.88   0.00    0.00
8234    67.975  138.00  42.19   0.00    0.00
8235    67.975  139.50  72.98   0.00    0.00
8236    67.975  134.13  104.05  0.00    0.00
8237    67.975  79.62   129.95  0.00    0.00
8238    67.975  15.91   144.00  0.00    0.00
8239    67.975  0.00    145.50  0.00    0.00
8240    67.975  0.00    147.00  0.00    0.00
8241    67.975  0.00    148.50  0.00    0.00
8242    67.975  0.00    148.50  0.00    0.00
8243    67.975  0.00    137.35  0.00    0.00
8244    67.975  0.00    101.86  0.00    0.00
8245    67.975  0.00    56.78   0.00    6.67
8246    67.975  0.00    17.35   0.00    36.27
8247    67.975  0.00    0.00    0.00    76.90
8248    67.975  0.00    0.00    0.00    114.99
8249    67.975  0.00    0.00    0.00    137.55
8250    67.975  0.00    0.00    0.00    136.50
8251    67.975  0.00    0.00    0.00    135.00
8252    67.975  0.00    0.00    0.00    133.50
8253    67.975  0.00    0.00    0.00    132.00
8254    67.975  0.00    0.00    0.00    121.90
8255    67.975  0.00    0.00    3.41    92.61
8256    67.975  0.00    0.00    20.68   55.25
8257    67.975  0.00    0.00    46.86   20.94
8258    67.975  0.00    0.00    75.76   0.31
8259    67.975  0.00    0.00    101.49  0.00
8260    67.975  0.00    0.00    118.43  0.00
8261    67.975  0.00    0.00    120.00  0.00
8262    67.975  0.00    0.00    118.50  0.00
8263    67.975  0.00    0.00    109.32  0.00
8264    67.975  0.83    0.00    86.46   0.00
8265    67.975  8.77    0.00    57.17   0.00
8266    67.975  22.96   0.00    28.38   0.00
8267    67.975  40.86   0.00    6.71    0.00
8268    67.975  60.02   0.00    0.00    0.00
8269    67.975  78.14   0.00    0.00    0.00
8270    67.975  93.03   0.00    0.00    0.00
8271    67.975  102.64  0.00    0.00    0.00
8272    67.975  103.50  0.00    0.00    0.00
8273    67.975  102.00  0.00    0.00    0.00
8274    67.975  100.50  0.00    0.00    0.00
8275    67.975  99.00   0.00    0.00    0.00
8276    67.975  95.35   0.00    0.00    0.00
8277    67.975  74.60   0.00    0.00    0.00
8278    67.975  43.95   0.00    0.00    0.00
8279    67.975  15.19   0.00    0.00    0.00

